epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.796372,0.72418,0.33333,1,0.78708,0,0,0
2,1.63183,0.66846,0.33333,1,0.78188,1.58448e-05,1.58448e-05,1.58448e-05
3,2.35208,0.79961,0.33333,1,0.77786,3.00393e-05,3.00393e-05,3.00393e-05
4,3.05359,0.75387,0.33333,1,0.77009,4.25835e-05,4.25835e-05,4.25835e-05
5,3.80776,0.72232,0.33333,1,0.76291,5.34774e-05,5.34774e-05,5.34774e-05
6,4.59041,0.73079,0.33333,1,0.75812,6.27209e-05,6.27209e-05,6.27209e-05
7,5.37832,0.75312,0.33333,1,0.75153,7.03141e-05,7.03141e-05,7.03141e-05
8,6.16811,0.64395,0.33333,1,0.74331,7.62569e-05,7.62569e-05,7.62569e-05
9,6.92983,0.70327,0.33333,1,0.73244,8.05494e-05,8.05494e-05,8.05494e-05
10,7.71089,0.74222,0.33333,1,0.72295,8.31916e-05,8.31916e-05,8.31916e-05
11,8.41856,0.64837,0.33333,1,0.70475,8.41835e-05,8.41835e-05,8.41835e-05
12,9.18888,0.66427,0.33333,1,0.69086,8.3525e-05,8.3525e-05,8.3525e-05
13,9.90829,0.65789,0.33333,1,0.68143,8.12162e-05,8.12162e-05,8.12162e-05
14,10.6784,0.67942,0.33333,1,0.66703,7.72571e-05,7.72571e-05,7.72571e-05
15,11.3496,0.61068,0.33333,1,0.64893,7.16477e-05,7.16477e-05,7.16477e-05
16,12.138,0.64774,0.33333,1,0.63187,6.43879e-05,6.43879e-05,6.43879e-05
17,12.8993,0.60523,0.66667,1,0.61804,5.54778e-05,5.54778e-05,5.54778e-05
18,13.6638,0.53618,0.66667,1,0.60245,4.49173e-05,4.49173e-05,4.49173e-05
19,14.3466,0.59693,0.66667,1,0.58965,3.27065e-05,3.27065e-05,3.27065e-05
20,15.138,0.55482,1,1,0.58067,1.88454e-05,1.88454e-05,1.88454e-05
